,character,line,gender,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
0,ODIN,"Long before the birth of light there was darkness, and from that darkness, came the Dark Elves. Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night.",MALE,0.9349040389060974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ODIN,"Such evil was possible through the power of the Aether, an ancient force of infinite destruction.",MALE,0.9820020198822021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ODIN,"The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures.",MALE,0.6484456062316895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,KURSE,Malekith! Asgard's forces are upon us.,MALE,0.9952338337898254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MALEKITH,Send the Kursed.,MALE,0.9987342953681946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ODIN,"As the Nine Worlds converged above him, Malekith could at last unleash the Aether...",MALE,0.9981606602668762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ODIN,"But Asgard ripped the weapon from his grasp. Without it, the Dark Elves fell. With the battle all but lost, Malekith sacrificed his own people in a desperate attempt to lay waste to Asgard's army.",MALE,0.5691437125205994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43118104338645935,0.0
7,MALEKITH,Their deaths will mean our survival. This war is far from over.,MALE,0.9317260384559631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ODIN,"Malekith was vanquished, and the Aether was no more. Or so we were led to believe.",MALE,0.9986742734909058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ASGARDIAN EINHERJAR,"Sire, the Aether. Shall we destroy it?",MALE,0.6749394536018372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3045445680618286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BOR,If only we could. But its power is too great. Bury it deep. Somewhere no one will ever find it.,MALE,0.0,0.9831525087356567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,FRIGGA,Loki.,MALE,0.9957483410835266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,LOKI,"Hello, mother. Have I made you proud?",MALE,0.585841953754425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,FRIGGA,"Please, don't make this worse.",MALE,0.0,0.0,0.0,0.0,0.0,0.0,0.7954948544502258,0.0,0.0,0.0,0.0,0.0,0.6328105926513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,LOKI,Define worse.,MALE,0.0,0.0,0.0,0.0,0.691446840763092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36454108357429504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,ODIN,Enough! I will speak to the prisoner alone.,MALE,0.989329993724823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,LOKI,I really don't see what all the fuss is about.,MALE,0.9890525937080383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ODIN,"Do you not truly feel the gravity of your crimes? Wherever you go there is war, ruin and death.",MALE,0.5743122100830078,0.0,0.0,0.38224729895591736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,LOKI,I went down to Midgard to rule the people of Earth as a benevolent god. Just like you.,MALE,0.0,0.7767369747161865,0.0,0.0,0.0,0.5139400959014893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ODIN,"We are not gods. We are born, we live, we die. Just as humans do.",MALE,0.3251722455024719,0.0,0.0,0.0,0.0,0.3396383821964264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,LOKI,Give or take 5000 years.,MALE,0.9987346529960632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ODIN,All this because Loki desires a throne.,MALE,0.8981525897979736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34133678674697876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LOKI,It is my birthright.,MALE,0.9988542795181274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ODIN,Your birthright was to die as a child. Cast out onto a frozen rock. If I had not taken you in you would not be here now to hate me.,MALE,0.9246186017990112,0.0,0.0,0.4071091115474701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,LOKI,"If I am for the axe, then for mercy's sake, just swing it. It's not that I don't love our little talks, it's just ... I don't love them.",MALE,0.0,0.0,0.0,0.0,0.45427894592285156,0.0,0.49043211340904236,0.0,0.0,0.0,0.0,0.31313180923461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40273982286453247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ODIN,Frigga is the only reason you are still alive and you will never see her again. You will spend the rest of your days in the dungeons.,MALE,0.9926683306694031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,LOKI,And what of Thor? You'll make that witless oaf king while I rot in chains?,MALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9284234046936035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
